"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Single Year of Age","C03789V04537","Administrative Counties","UNIT","VALUE"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","147"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","144"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","291"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","427"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","183"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","209"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","219"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","158"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","75"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","257"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","46"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1493-13a3-e055-000000000001","Mayo  County Council","Number","239"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","102"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","100"
